# Matter power spectrum P(k) at redshift z=0
# for k=0.942823 to 102.23 h/Mpc,
# number of wavenumbers equal to 103
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.428232749504e-01       8.345630321097e+01 
       9.834851443307e-01       7.575554244124e+01 
       1.027036637339e+00       6.856458642923e+01 
       1.073462057730e+00       6.190541957549e+01 
       1.122724315541e+00       5.578212005388e+01 
       1.174788328242e+00       5.019101004139e+01 
       1.229639439151e+00       4.510784675310e+01 
       1.287293456278e+00       4.050462921088e+01 
       1.347798865890e+00       3.634801562032e+01 
       1.411233923509e+00       3.259816926454e+01 
       1.477701526119e+00       2.922239520715e+01 
       1.547323941294e+00       2.618424065996e+01 
       1.620238472285e+00       2.345249239494e+01 
       1.696594388603e+00       2.099733515440e+01 
       1.776551025963e+00       1.879217482027e+01 
       1.860276787191e+00       1.681219213209e+01 
       1.947948757197e+00       1.503500078048e+01 
       2.039752698422e+00       1.344093771427e+01 
       2.135883265099e+00       1.201168548647e+01 
       2.236544337699e+00       1.073006447457e+01 
       2.341949423850e+00       9.582127181842e+00 
       2.452322099540e+00       8.553931018665e+00 
       2.567896479388e+00       7.633512148585e+00 
       2.688917711995e+00       6.809306494304e+00 
       2.815642499588e+00       6.072373314490e+00 
       2.948339642423e+00       5.412736677007e+00 
       3.087290608932e+00       4.823566683089e+00 
       3.232790132742e+00       4.296892648042e+00 
       3.385146837851e+00       3.825987831816e+00 
       3.544683893258e+00       3.405673020062e+00 
       3.711739698447e+00       3.030524558690e+00 
       3.886668601177e+00       2.695478216035e+00 
       4.069841649106e+00       2.396551979734e+00 
       4.261647376825e+00       2.130314317834e+00 
       4.462492630000e+00       1.892576021052e+00 
       4.672803428340e+00       1.680567545042e+00 
       4.893025869245e+00       1.491561311320e+00 
       5.123627074038e+00       1.323549137473e+00 
       5.365096178791e+00       1.173311806508e+00 
       5.617945371851e+00       1.040330014264e+00 
       5.882710980256e+00       9.215994643059e-01 
       6.159954607359e+00       8.159636309279e-01 
       6.450264324063e+00       7.219819091963e-01 
       6.754255916200e+00       6.384658143552e-01 
       7.072574190695e+00       5.642129733157e-01 
       7.405894343285e+00       4.982127898293e-01 
       7.754923390702e+00       4.396059196581e-01 
       8.120401670352e+00       3.876043220308e-01 
       8.503104410666e+00       3.414250315964e-01 
       8.903843375466e+00       3.004057296780e-01 
       9.323468585824e+00       2.641128806320e-01 
       9.762870123072e+00       2.319070352555e-01 
       1.022298001678e+01       2.033854947736e-01 
       1.070477422173e+01       1.781325800568e-01 
       1.120927468801e+01       1.557867715695e-01 
       1.173755152876e+01       1.360503467471e-01 
       1.229072528998e+01       1.185667998013e-01 
       1.286996932739e+01       1.031811118363e-01 
       1.347651229525e+01       8.959543261119e-02 
       1.411164075252e+01       7.764122949113e-02 
       1.477670189180e+01       6.709588790797e-02 
       1.547310639694e+01       5.786322149715e-02 
       1.620233143526e+01       4.975026428707e-02 
       1.696592379085e+01       4.262849820669e-02 
       1.776550314545e+01       3.644551846603e-02 
       1.860276551409e+01       3.102813954039e-02 
       1.947948684250e+01       2.632484971392e-02 
       2.039752677416e+01       2.222361755974e-02 
       2.135883259486e+01       1.871205570203e-02 
       2.236544336312e+01       1.566383077676e-02 
       2.341949423534e+01       1.305910877038e-02 
       2.452322099473e+01       1.079810947431e-02 
       2.567896479375e+01       8.901447896530e-03 
       2.688917711993e+01       7.293814458853e-03 
       2.815642499587e+01       5.935336689387e-03 
       2.948339642423e+01       4.803213756443e-03 
       3.087290608932e+01       3.847388643643e-03 
       3.232790132742e+01       3.074620688749e-03 
       3.385146837851e+01       2.427368615935e-03 
       3.544683893258e+01       1.905048790008e-03 
       3.711739698447e+01       1.479086642550e-03 
       3.886668601177e+01       1.144725832803e-03 
       4.069841649106e+01       8.781219821392e-04 
       4.261647376825e+01       6.631042059918e-04 
       4.462492630000e+01       5.011223692885e-04 
       4.672803428340e+01       3.717414465427e-04 
       4.893025869245e+01       2.686901090911e-04 
       5.123627074038e+01       1.980892586508e-04 
       5.365096178791e+01       1.428993269152e-04 
       5.617945371851e+01       1.022949403776e-04 
       5.882710980256e+01       7.269539248988e-05 
       6.159954607359e+01       5.103532599534e-05 
       6.450264324063e+01       3.431104563288e-05 
       6.754255916200e+01       2.450635611971e-05 
       7.072574190695e+01       1.663914326211e-05 
       7.405894343285e+01       1.060131619535e-05 
       7.754923390702e+01       7.323022418378e-06 
       8.120401670352e+01       4.507221886987e-06 
       8.503104410666e+01       2.885078205732e-06 
       8.903843375466e+01       2.040121567753e-06 
       9.323468585824e+01       1.315844926713e-06 
       9.762870123072e+01       8.410802398243e-07 
       1.022298001678e+02       5.354912348180e-07 
