# Matter power spectrum P(k) at redshift z=0
# for k=0.00104758 to 205.31 h/Mpc,
# number of wavenumbers equal to 231
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047581416612e-03       4.265653790640e+03 
       1.131152394173e-03       4.580038070675e+03 
       1.221390260036e-03       4.915900748863e+03 
       1.318826866296e-03       5.274392830478e+03 
       1.424036493636e-03       5.656667385848e+03 
       1.537639236077e-03       6.063867384288e+03 
       1.660304655736e-03       6.497110305203e+03 
       1.792755729161e-03       6.957470036502e+03 
       1.935773108469e-03       7.445954433836e+03 
       2.090199722427e-03       7.963481152551e+03 
       2.256945744581e-03       8.510847956178e+03 
       2.436993957719e-03       9.088706177934e+03 
       2.631405546288e-03       9.697522950376e+03 
       2.841326350893e-03       1.033754503649e+04 
       3.067993621762e-03       1.100875644257e+04 
       3.312743310958e-03       1.171083420385e+04 
       3.577017946340e-03       1.244309432216e+04 
       3.862375133658e-03       1.320443045581e+04 
       4.170496736916e-03       1.399325281429e+04 
       4.503198791091e-03       1.480742419984e+04 
       4.862442205644e-03       1.564415743007e+04 
       5.250344321909e-03       1.650007039009e+04 
       5.669191392465e-03       1.737115222481e+04 
       6.121452056066e-03       1.825141002760e+04 
       6.609791887520e-03       1.913638491632e+04 
       7.137089108299e-03       2.001929110126e+04 
       7.706451550461e-03       2.089147855989e+04 
       8.321234973870e-03       2.174492386435e+04 
       8.985062844677e-03       2.256794714219e+04 
       9.701847691636e-03       2.335017511020e+04 
       1.047581416612e-02       2.407887406976e+04 
       1.131152394173e-02       2.474059901067e+04 
       1.221390260036e-02       2.532064916271e+04 
       1.318826866296e-02       2.580339215904e+04 
       1.424036493636e-02       2.617236968511e+04 
       1.537639236070e-02       2.641125052583e+04 
       1.660304655607e-02       2.650315737577e+04 
       1.792755727276e-02       2.643635589548e+04 
       1.935773086639e-02       2.619528394258e+04 
       2.090199518124e-02       2.577174140939e+04 
       2.256944177107e-02       2.516352503558e+04 
       2.436983963362e-02       2.437264469513e+04 
       2.631351891157e-02       2.341197898634e+04 
       2.841080833361e-02       2.230234682034e+04 
       3.067025601527e-02       2.107806002561e+04 
       3.309426537688e-02       1.978531047027e+04 
       3.567092049698e-02       1.848419508502e+04 
       3.836393652714e-02       1.724236740406e+04 
       4.110990286368e-02       1.612247767154e+04 
       4.383387376761e-02       1.516503917966e+04 
       4.647665026420e-02       1.437715315187e+04 
       4.901012796832e-02       1.374006753129e+04 
       5.143258659491e-02       1.322444317231e+04 
       5.375637212723e-02       1.280026987089e+04 
       5.599850279376e-02       1.244257805450e+04 
       5.817592852454e-02       1.213019421207e+04 
       6.030375815692e-02       1.184620473222e+04 
       6.239488151077e-02       1.157810113509e+04 
       6.446012904057e-02       1.131597906418e+04 
       6.650858773952e-02       1.105142751661e+04 
       6.854792456356e-02       1.077986967982e+04 
       7.058466848358e-02       1.049552035420e+04 
       7.262444155933e-02       1.019719810018e+04 
       7.467214324942e-02       9.883016299782e+03 
       7.673209588432e-02       9.554749430082e+03 
       7.880815922470e-02       9.213423254646e+03 
       8.090382086466e-02       8.862058748493e+03 
       8.302226789145e-02       8.504205426949e+03 
       8.516644400983e-02       8.143896815875e+03 
       8.733909536147e-02       7.786497472360e+03 
       8.954280750793e-02       7.437090792710e+03 
       9.178003546394e-02       7.099965378655e+03 
       9.405312822702e-02       6.780016630215e+03 
       9.636434891740e-02       6.480821080567e+03 
       9.871589139070e-02       6.205800298162e+03 
       1.011098939956e-01       5.956737591708e+03 
       1.035484510042e-01       5.734731279238e+03 
       1.060336221324e-01       5.539696512352e+03 
       1.085674404828e-01       5.370113231536e+03 
       1.111519191771e-01       5.223897838533e+03 
       1.137890568955e-01       5.096969303479e+03 
       1.164808425016e-01       4.985077336846e+03 
       1.192292588995e-01       4.882861284713e+03 
       1.220362862483e-01       4.784602614077e+03 
       1.249039046411e-01       4.684531706134e+03 
       1.278340963393e-01       4.577091756473e+03 
       1.308288476456e-01       4.458179654036e+03 
       1.338901504886e-01       4.324679424634e+03 
       1.370200037855e-01       4.175560301733e+03 
       1.402204146486e-01       4.011769270172e+03 
       1.434933994925e-01       3.836381113216e+03 
       1.468409851008e-01       3.654153822109e+03 
       1.502652097086e-01       3.470654705544e+03 
       1.537681241547e-01       3.292417701153e+03 
       1.573517931579e-01       3.125243601538e+03 
       1.610182967728e-01       2.973990262187e+03 
       1.647697320764e-01       2.841695813744e+03 
       1.686082151414e-01       2.729444943228e+03 
       1.725358833501e-01       2.636164520676e+03 
       1.765548981011e-01       2.558499927583e+03 
       1.806674479654e-01       2.491569872455e+03 
       1.848757523462e-01       2.429777294706e+03 
       1.891820656962e-01       2.367196877735e+03 
       1.935886823510e-01       2.297941654875e+03 
       1.980979420346e-01       2.218300607418e+03 
       2.027122360970e-01       2.127827118408e+03 
       2.074340145446e-01       2.028699324165e+03 
       2.122657939305e-01       1.925677546068e+03 
       2.172101661719e-01       1.824279688382e+03 
       2.222698083718e-01       1.729571283493e+03 
       2.274474937272e-01       1.645349455375e+03 
       2.327461036163e-01       1.573511021852e+03 
       2.381686409692e-01       1.513495051259e+03 
       2.437182450413e-01       1.462653886052e+03 
       2.493982077255e-01       1.416493643387e+03 
       2.552119915652e-01       1.370196388666e+03 
       2.611632496511e-01       1.320036986446e+03 
       2.672558476223e-01       1.264676460511e+03 
       2.734938880286e-01       1.204911933315e+03 
       2.798817373590e-01       1.143658451561e+03 
       2.864240560959e-01       1.084844853196e+03 
       2.931258322256e-01       1.031859362067e+03 
       2.999924187147e-01       9.859980445905e+02 
       3.070295755627e-01       9.462287294635e+02 
       3.142435171601e-01       9.101430417121e+02 
       3.216409658273e-01       8.748141366514e+02 
       3.292292125882e-01       8.378960959923e+02 
       3.370161864517e-01       7.988551125388e+02 
       3.450105337402e-01       7.591626721299e+02 
       3.532217093441e-01       7.208827529009e+02 
       3.616600821916e-01       6.858082757300e+02 
       3.703370577507e-01       6.544995891298e+02 
       3.792652210332e-01       6.258447637674e+02 
       3.884585044117e-01       5.980371657588e+02 
       3.979323856246e-01       5.699677588959e+02 
       4.077041227198e-01       5.415609909092e+02 
       4.177930344662e-01       5.137341792776e+02 
       4.282208370870e-01       4.875883850887e+02 
       4.390120512203e-01       4.633030139151e+02 
       4.501944970595e-01       4.404629591906e+02 
       4.617999010328e-01       4.181859814560e+02 
       4.738646446560e-01       3.960262197598e+02 
       4.864306960703e-01       3.743131461417e+02 
       4.995467782900e-01       3.536803623168e+02 
       5.132698468123e-01       3.341824745245e+02 
       5.276669750908e-01       3.153130760803e+02 
       5.428177824496e-01       2.967184028511e+02 
       5.588175895054e-01       2.786562480377e+02 
       5.757815567766e-01       2.612982375094e+02 
       5.938501601336e-01       2.444990398910e+02 
       6.131964899233e-01       2.280419886854e+02 
       6.340360335375e-01       2.119795022414e+02 
       6.566398033502e-01       1.963620759685e+02 
       6.813518458780e-01       1.810373899535e+02 
       7.086121301451e-01       1.660030907254e+02 
       7.389850726418e-01       1.512480738988e+02 
       7.731913575125e-01       1.367235710298e+02 
       8.121339612878e-01       1.224658481736e+02 
       8.568953183743e-01       1.085114165091e+02 
       9.086625721837e-01       9.499487220126e+01 
       9.685341119016e-01       8.212379233652e+01 
       1.037231633821e+00       7.016535834798e+01 
       1.114905325920e+00       5.937595288336e+01 
       1.201264504644e+00       4.991111814238e+01 
       1.295966680187e+00       4.178316640807e+01 
       1.398927978534e+00       3.489165199496e+01 
       1.510390195967e+00       2.908853162560e+01 
       1.630843683104e+00       2.422095327646e+01 
       1.760935518400e+00       2.014607702467e+01 
       1.901412657307e+00       1.673766314959e+01 
       2.053097868776e+00       1.389275361707e+01 
       2.216884045281e+00       1.151988984230e+01 
       2.393736325591e+00       9.543199932869e+00 
       2.584697029166e+00       7.897528434620e+00 
       2.790891654211e+00       6.529946903346e+00 
       3.013535488963e+00       5.394130324442e+00 
       3.253940771776e+00       4.451362160439e+00 
       3.513524425049e+00       3.670032692798e+00 
       3.793816406399e+00       3.022878595983e+00 
       4.096468726062e+00       2.487554617287e+00 
       4.423265183653e+00       2.044978263511e+00 
       4.776131881698e+00       1.679022652033e+00 
       5.157148577859e+00       1.377487700451e+00 
       5.568560942806e+00       1.128566617698e+00 
       6.012793795950e+00       9.235700570858e-01 
       6.492465397065e+00       7.547408651242e-01 
       7.010402878023e+00       6.158739565324e-01 
       7.569658905600e+00       5.017281398964e-01 
       8.173529673559e+00       4.079890038720e-01 
       8.825574330058e+00       3.310724027303e-01 
       9.529635954873e+00       2.680349340879e-01 
       1.028986421010e+01       2.164229837054e-01 
       1.111073979779e+01       1.741979272041e-01 
       1.199710086874e+01       1.397305577244e-01 
       1.295417153800e+01       1.116047205935e-01 
       1.398759267527e+01       8.872659303074e-02 
       1.510345515151e+01       7.012489928248e-02 
       1.630833573793e+01       5.505783190258e-02 
       1.760933586872e+01       4.290161135080e-02 
       1.901412349613e+01       3.308410084243e-02 
       2.053097828455e+01       2.524838962588e-02 
       2.216884040995e+01       1.901677656534e-02 
       2.393736325227e+01       1.409069213262e-02 
       2.584697029142e+01       1.025021670497e-02 
       2.790891654210e+01       7.281931054916e-03 
       3.013535488963e+01       5.033319880822e-03 
       3.253940771776e+01       3.356965487709e-03 
       3.513524425049e+01       2.165353117227e-03 
       3.793816406399e+01       1.329687771177e-03 
       4.096468726062e+01       7.664302128831e-04 
       4.423265183653e+01       4.067578777410e-04 
       4.776131881698e+01       2.015339207866e-04 
       5.157148577859e+01       8.896677159046e-05 
       5.568560942806e+01       3.484376932529e-05 
       6.012793795950e+01       1.261816587869e-05 
       6.492465397065e+01       5.101700545408e-06 
       7.010402878023e+01       1.827570408254e-06 
       7.569658905600e+01       1.695258837168e-06 
       8.173529673559e+01       1.737422201901e-06 
       8.825574330058e+01       2.085282107306e-06 
       9.529635954873e+01       1.942669730281e-06 
       1.028986421010e+02       1.435030119935e-06 
       1.111073979779e+02       8.330171165356e-07 
       1.199710086874e+02       4.171042093227e-07 
       1.295417153800e+02       2.191516818187e-07 
       1.398759267527e+02       1.374803741938e-07 
       1.510345515151e+02       8.722763282528e-08 
       1.630833573793e+02       4.303203769009e-08 
       1.760933586872e+02       1.608456826662e-08 
       1.901412349613e+02       6.036843519864e-09 
       2.053097828455e+02       2.162135213535e-09 
